No,Nama Tukang,Tempat kerja,Keahliah,Daerah,Jam kerja,Harga /jam,Rating
166,Rizki Permatasari,Permatasari Design dan Fotografi,Design dan Fotografi,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,8"
167,Hadi Hartono,Hartono Instalasi Pipa,Instalasi Pipa,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"3,5"
168,Siti Kusuma,"Kusuma Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,2"
169,Budi Pratama,Pratama Tukang Kayu,Tukang Kayu,Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,7"
170,Surya Saputra,"Saputra Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,4
171,Toni Pratama,Pratama Instalasi Listrik,Instalasi Listrik,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,8"
172,Rahayu Purba,Purba Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,7"
173,Putri Hadi,Hadi Design Logo,Design Logo,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,8"
174,Ratna Purba,Purba Tukang Aluminium,Tukang Aluminium,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,3"
175,Putri Hartono,Hartono Foto dan Videografi,Foto dan Videografi,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,1"
176,Rini Ningsih,Ningsih Tukang Kayu,Tukang Kayu,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,8"
177,Rina Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,2"
178,Hadi Setiawan,Setiawan Tukang Kayu,Tukang Kayu,Tasikmalaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,9"
179,Toni Pratama,Pratama Design dan Fotografi,Design dan Fotografi,Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,9"
180,Siti Wati,Wati Tukang AC,Tukang AC,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"3,5"
181,Rizki Ningsih,Ningsih Tukang AC,Tukang AC,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"3,2"
182,Dewi Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"2,8"
183,Linda Gunawan,Gunawan Tukang AC,Tukang AC,Tasikmalaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,2"
184,Rizki Saputra,Saputra Foto dan Videografi,Foto dan Videografi,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,9"
185,Rizki Wijaya,Wijaya Design dan Fotografi,Design dan Fotografi,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,3"
186,Hendra Hadi,Hadi Instalasi Listrik,Instalasi Listrik,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,8"
187,Citra Susanto,Susanto Design dan Fotografi,Design dan Fotografi,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,7"
188,Eko Permatasari,Permatasari Instalasi Pipa,Instalasi Pipa,Wonosobo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"2,8"
189,Sinta Utami,Utami Tukang Kayu,Tukang Kayu,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"2,8"
190,Hery Hadi,Hadi Tukang Aluminium,Tukang Aluminium,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,4
191,Hendra Susanto,Susanto Tukang Kayu,Tukang Kayu,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"3,2"
192,Adi Gunawan,Gunawan Instalasi Listrik,Instalasi Listrik,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,8"
193,Citra Saputra,Saputra Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Tasikmalaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"2,8"
194,Siti Kurniawan,Kurniawan Design dan Fotografi,Design dan Fotografi,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"3,5"
195,Dewi Utami,Utami Tukang AC,Tukang AC,Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"3,2"
196,Ratna Kusuma,Kusuma Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,2"
197,Surya Saputri,"Saputri Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,5"
198,Sari Sari,Sari Instalasi Pipa,Instalasi Pipa,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,9"
199,Joko Utami,Utami Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"2,8"
200,Budi Purba,Purba Tukang Kayu,Tukang Kayu,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,8"
201,Fitri Wijaya,Wijaya Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"3,2"
202,Sari Gunawan,Gunawan Design dan Fotografi,Design dan Fotografi,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,9"
203,Siti Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,9"
204,Sinta Saputri,Saputri Foto dan Videografi,Foto dan Videografi,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,2"
205,Dewa Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"3,2"
206,Hadi Wibowo,Wibowo Instalasi Pipa,Instalasi Pipa,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,5"
207,Yanti Setiawan,Setiawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,5"
208,Budi Setiawan,Setiawan Tukang Kayu,Tukang Kayu,Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,9"
209,Arief Purba,Purba Instalasi Pipa,Instalasi Pipa,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"2,8"
210,Dian Ningsih,"Ningsih Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,3"
211,Ratna Hadi,Hadi Tukang Aluminium,Tukang Aluminium,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"3,5"
212,Arif Sari,Sari Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,3"
213,Ratna Hadi,Hadi Tukang Kayu,Tukang Kayu,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,1"
214,Nina Hadi,Hadi Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"3,5"
215,Ivan Wijaya,Wijaya Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"4,5"
216,Arief Lestari,Lestari Tukang AC,Tukang AC,Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,4
217,Dwi Saputra,Saputra Instalasi Listrik,Instalasi Listrik,Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,7"
218,Ivan Gunawan,"Gunawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Bekasi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,"4,9"
219,Surya Wibowo,Wibowo Tukang AC,Tukang AC,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,1"
220,Putri Nugroho,"Nugroho Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,1"
221,Dewi Purba,Purba Tukang AC,Tukang AC,Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"2,8"
222,Sinta Purba,Purba Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"3,5"
223,Arief Gunawan,Gunawan Instalasi Pipa,Instalasi Pipa,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"3,2"
224,Rizki Saputra,Saputra Design dan Fotografi,Design dan Fotografi,Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"3,2"
225,Agus Purba,Purba Tukang Kayu,Tukang Kayu,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,2"
226,Rudi Permatasari,Permatasari Design dan Fotografi,Design dan Fotografi,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,3"
227,Dian Gunawan,Gunawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,2"
228,Lina Sari,"Sari Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,3"
229,Agus Wibowo,Wibowo Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,6"
230,Dewi Gunawan,Gunawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,1"
231,Rina Sari,Sari Foto dan Videografi,Foto dan Videografi,Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,4
232,Rudi Lestari,Lestari Design dan Cetak,Design dan Cetak,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,1"
233,Rina Ningsih,Ningsih Tukang AC,Tukang AC,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"2,8"
234,Citra Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"4,3"
235,Ahmad Susanto,Susanto Tukang AC,Tukang AC,Boyolali,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"4,3"
236,Fitri Purba,"Purba Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,7"
237,Eko Hartono,Hartono Instalasi Listrik,Instalasi Listrik,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,3"
238,Fitri Setiawan,Setiawan Design dan Fotografi,Design dan Fotografi,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,3"
239,Rudi Utami,Utami Tukang Kayu,Tukang Kayu,Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,6"
240,Rizki Lestari,"Lestari Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 90.000,"4,3"
241,Wati Wibowo,Wibowo Tukang AC,Tukang AC,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,1"
242,Putri Ningsih,Ningsih Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,3"
243,Lina Ningsih,Ningsih Instalasi Listrik,Instalasi Listrik,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,9"
244,Ani Setiawan,"Setiawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,1"
245,Arief Wati,Wati Instalasi Listrik,Instalasi Listrik,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,1"
246,Rini Susanto,Susanto Instalasi Listrik,Instalasi Listrik,Wonosobo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,4
247,Rahayu Setiawan,Setiawan Instalasi Pipa,Instalasi Pipa,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"2,8"
248,Fitri Hartono,Hartono Tukang AC,Tukang AC,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"3,5"
249,Agus Sari,Sari Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,8"
250,Ratna Wati,"Wati Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,7"
251,Putri Lestari,"Lestari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,4
252,Adi Hadi,Hadi Tukang AC,Tukang AC,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"3,5"
253,Citra Hartono,Hartono Foto dan Videografi,Foto dan Videografi,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"3,2"
254,Eko Pratama,Pratama Tukang Aluminium,Tukang Aluminium,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"3,5"
255,Yanti Saputra,Saputra Foto dan Videografi,Foto dan Videografi,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"4,6"
256,Hadi Pratama,Pratama Tukang Aluminium,Tukang Aluminium,Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,3"
257,Dian Saputra,Saputra Tukang AC,Tukang AC,Bekasi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 130.000,"4,3"
258,Wati Setiawan,"Setiawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,3"
259,Reza Wijaya,Wijaya Tukang AC,Tukang AC,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,2"
260,Rahayu Setiawan,Setiawan Instalasi Pipa,Instalasi Pipa,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,8"
261,Rudi Lestari,Lestari Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,6"
262,Agus Setiawan,"Setiawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Malang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,8"
263,Hendra Kurniawan,"Kurniawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,6"
264,Joko Pratama,Pratama Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,1"
265,Nina Setiawan,"Setiawan Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,3"
266,Agus Pratama,Pratama Design dan Fotografi,Design dan Fotografi,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 95.000,"4,9"
267,Agus Utami,Utami Tukang Aluminium,Tukang Aluminium,Malang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"3,2"
268,Ani Wati,Wati Instalasi Listrik,Instalasi Listrik,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,3"
269,Eko Sari,Sari Tukang Kayu,Tukang Kayu,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"3,2"
270,Dian Utami,Utami Design Logo,Design Logo,Wonosobo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,5"
271,Dwi Utami,Utami Design Logo,Design Logo,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"2,8"
272,Eko Hartono,Hartono Design dan Fotografi,Design dan Fotografi,Boyolali,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,5"
273,Rizki Saputri,Saputri Tukang Kayu,Tukang Kayu,Kebumen,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"3,2"
274,Reza Wibowo,Wibowo Design dan Cetak,Design dan Cetak,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,9"
275,Adi Saputri,Saputri Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,7"
276,Sari Lestari,Lestari Design Logo,Design Logo,Banyuwangi,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"4,8"
277,Andi Wati,"Wati Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,1"
278,Ahmad Lestari,Lestari Foto dan Videografi,Foto dan Videografi,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 90.000,"4,8"
279,Sari Gunawan,"Gunawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"4,3"
280,Citra Saputra,Saputra Design Logo,Design Logo,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 70.000,"4,5"
281,Toni Hartono,"Hartono Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Solo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,5"
282,Linda Setiawan,Setiawan Instalasi Listrik,Instalasi Listrik,Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,4
283,Hadi Lestari,Lestari Tukang Aluminium,Tukang Aluminium,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,9"
284,Fina Saputri,"Saputri Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 120.000,"4,2"
285,Hadi Sari,Sari Foto dan Videografi,Foto dan Videografi,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,1"
286,Arif Hartono,Hartono Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,4
287,Agus Pratama,"Pratama Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"3,5"
288,Ivan Sari,Sari Design dan Fotografi,Design dan Fotografi,Solo,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 140.000,"4,7"
289,Citra Permatasari,Permatasari Tukang Kayu,Tukang Kayu,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"3,2"
290,Rizki Nugroho,Nugroho Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,1"
291,Sinta Nugroho,Nugroho Design Logo,Design Logo,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"3,2"
292,Adi Nugroho,Nugroho Foto dan Videografi,Foto dan Videografi,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,3"
293,Citra Hartono,Hartono Design dan Cetak,Design dan Cetak,Wonosobo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"4,3"
294,Budi Lestari,Lestari Tukang AC,Tukang AC,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,1"
295,Rina Ningsih,Ningsih Instalasi Listrik,Instalasi Listrik,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"4,7"
296,Ratna Wijaya,Wijaya Tukang Kayu,Tukang Kayu,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,5"
297,Dewa Kusuma,Kusuma Design dan Fotografi,Design dan Fotografi,Cilacap,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,2"
298,Sinta Permatasari,Permatasari Design Logo,Design Logo,Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"4,2"
299,Ahmad Wati,"Wati Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"4,9"
300,Wati Hadi,"Hadi Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,1"
301,Yanti Purba,Purba Design Logo,Design Logo,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,2"
302,Joko Saputri,Saputri Design dan Cetak,Design dan Cetak,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,5"
303,Surya Hartono,Hartono Tukang Aluminium,Tukang Aluminium,Tasikmalaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,6"
304,Hery Lestari,Lestari Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 120.000,"4,1"
305,Adi Saputra,Saputra Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,7"
306,Reza Wati,Wati Instalasi Pipa,Instalasi Pipa,Semarang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,6"
307,Rina Permatasari,Permatasari Design dan Cetak,Design dan Cetak,Banyuwangi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,6"
308,Hadi Kurniawan,Kurniawan Design dan Fotografi,Design dan Fotografi,Sleman,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 70.000,"2,8"
309,Ratna Susanto,"Susanto Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"4,8"
310,Reza Pratama,Pratama Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,"4,2"
311,Rizki Saputri,Saputri Design dan Fotografi,Design dan Fotografi,Bandung,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 90.000,"4,1"
312,Nina Saputri,Saputri Tukang AC,Tukang AC,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 100.000,"3,5"
313,Arif Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Purwokerto,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,4
314,Ahmad Sari,"Sari Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Malang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 80.000,"4,8"
315,Arif Hartono,Hartono Design Logo,Design Logo,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,5"
316,Adi Kurniawan,Kurniawan Instalasi Listrik,Instalasi Listrik,Pekalongan,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,8"
317,Surya Wibowo,Wibowo Tukang AC,Tukang AC,Cilacap,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"2,8"
318,Surya Kusuma,"Kusuma Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Malang,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"2,8"
319,Sari Utami,Utami Tukang Aluminium,Tukang Aluminium,Sleman,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"4,1"
320,Fina Sari,Sari Tukang Kayu,Tukang Kayu,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,1"
321,Rahayu Utami,Utami Design dan Fotografi,Design dan Fotografi,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"3,5"
322,Rahayu Setiawan,Setiawan Tukang Kayu,Tukang Kayu,Banyuwangi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 80.000,"2,8"
323,Ani Saputra,Saputra Tukang AC,Tukang AC,Pekalongan,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 60.000,"4,3"
324,Linda Setiawan,Setiawan Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Bandung,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 150.000,"3,5"
325,Rahayu Sari,Sari Instalasi Listrik,Instalasi Listrik,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"4,1"
326,Ahmad Gunawan,Gunawan Instalasi Listrik,Instalasi Listrik,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 130.000,"3,2"
327,Arief Permatasari,Permatasari Tukang AC,Tukang AC,Boyolali,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 70.000,"2,8"
328,Reza Setiawan,Setiawan Instalasi Pipa,Instalasi Pipa,Semarang,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"4,2"
329,Putri Kusuma,Kusuma Design dan Cetak,Design dan Cetak,Semarang,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"4,8"
330,Joko Ningsih,"Ningsih Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Tasikmalaya,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 80.000,4
